"","row_id","establishment_id","inspection_id","establishment_name","establishmenttype","establishment_address","establishment_status","minimum_inspections_peryear","infraction_details","inspection_date","severity","action","court_outcome","amount_fined"
"1",1,1222579,103868579,"SAI-LILA KHAMAN DHOKLA HOUSE","Food Take Out","870 MARKHAM RD ","Pass",2,"Operator fail to properly wash equipment","2016-12-21","M - Minor","Notice to Comply"," "," "
"2",2,1222580,103490157,"OYINGBO AFRICAN SUPERMARKET","Supermarket","1550 JANE ST ","Pass",1,"","2015-05-12","","","",""
"3",3,1222580,103601595,"OYINGBO AFRICAN SUPERMARKET","Supermarket","1550 JANE ST ","Pass",1,"","2015-11-02","","","",""
"4",4,1222807,103537032,"PHO BO TO","Restaurant","1635 LAWRENCE AVE W","Pass",3,"OPERATOR FAIL TO ENSURE COVER WILL PREVENT CONTAMINATION OR ADULTERATION O. REG  562/90 SEC. 59(C)(II)","2015-07-22","S - Significant","Corrected During Inspection"," "," "
"5",5,1222807,103537032,"PHO BO TO","Restaurant","1635 LAWRENCE AVE W","Pass",3,"Operator fail to properly maintain equipment(NON-FOOD)","2015-07-22","M - Minor","Notice to Comply"," "," "
"6",6,1222807,103616870,"PHO BO TO","Restaurant","1635 LAWRENCE AVE W","Pass",3,"","2015-11-26","","","",""
"7",7,1222807,103702528,"PHO BO TO","Restaurant","1635 LAWRENCE AVE W","Pass",3,"","2016-04-05","","","",""
"8",8,1222807,103732221,"PHO BO TO","Restaurant","1635 LAWRENCE AVE W","Pass",3,"","2016-05-18","","","",""
"9",9,1222807,103874297,"PHO BO TO","Restaurant","1635 LAWRENCE AVE W","Pass",3,"","2016-12-29","","","",""
"10",10,1222807,103941166,"PHO BO TO","Restaurant","1635 LAWRENCE AVE W","Pass",3,"","2017-04-07","","","",""
"11",11,1223056,103541411,"PIZZA PIZZA","Restaurant","606 BROWNS LINE ","Pass",2,"","2015-07-29","","","",""
"12",12,1223056,103647049,"PIZZA PIZZA","Restaurant","606 BROWNS LINE ","Pass",2,"","2016-01-07","","","",""
"13",13,1223056,103769936,"PIZZA PIZZA","Restaurant","606 BROWNS LINE ","Pass",2,"","2016-07-13","","","",""
"14",14,1223056,103888059,"PIZZA PIZZA","Restaurant","606 BROWNS LINE ","Pass",2,"","2017-01-10","","","",""
"15",15,1223438,103506260,"RAINBOW CINEMAS","Food Take Out","500 REXDALE BLVD ","Pass",1,"","2015-06-09","","","",""
"16",16,1223438,103761789,"RAINBOW CINEMAS","Food Take Out","500 REXDALE BLVD ","Pass",1,"","2016-11-16","","","",""
"17",17,9000004,103531075,"PAPINO'S PIZZA","Food Take Out","1788 JANE ST ","Pass",2,"","2015-07-15","","","",""
"18",18,9000004,103718836,"PAPINO'S PIZZA","Food Take Out","1788 JANE ST ","Pass",2,"Operator fail to properly wash surfaces in rooms","2016-04-28","M - Minor","Notice to Comply"," "," "
"19",19,9000004,103802502,"PAPINO'S PIZZA","Food Take Out","1788 JANE ST ","Pass",2,"","2016-08-26","","","",""
"20",20,9000004,103927199,"PAPINO'S PIZZA","Food Take Out","1788 JANE ST ","Pass",2,"OPERATOR FAIL TO ENSURE COVER WILL PREVENT CONTAMINATION OR ADULTERATION O. REG  562/90 SEC. 59(C)(II)","2017-03-09","S - Significant","Corrected During Inspection"," "," "
"21",21,9000004,103927199,"PAPINO'S PIZZA","Food Take Out","1788 JANE ST ","Pass",2,"Operator fail to properly wash surfaces in rooms","2017-03-09","M - Minor","Notice to Comply"," "," "
"22",22,9000026,103495689,"2-4-1 PIZZA","Food Take Out","2372 EGLINTON AVE E","Pass",2,"","2015-05-21","","","",""
